GeneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Rasa3	1227.29237664328	-0.838143532126705	0.167910629968132	-4.99160495250227	5.98796307182509e-07	3.94213925543848e-05
Orc6l	739.019186016888	0.988934294673151	0.198180520104334	4.99006811644513	6.03580047319255e-07	3.94848314499482e-05
Hcst	212.781133112053	-1.78679648154271	0.358434877991702	-4.98499613529259	6.19630514300108e-07	4.02798804767667e-05
Igj	3858.88146119316	0.986749481490326	0.198506888744831	4.9708576247887	6.66573864635481e-07	4.30606716554521e-05
Dbi	2365.82972880321	0.705944159861796	0.142060519216307	4.96931986280366	6.71881564564283e-07	4.31339618095431e-05
Ctsb	1364.03407605752	-1.04782981080439	0.211310176657034	-4.95872857323413	7.0956020654671e-07	4.52716931781901e-05
Neil1	1634.90849680856	0.905376612608646	0.182742928495516	4.95437290002092	7.25639292446391e-07	4.60135443357417e-05
LOC100504500	23.9085697225597	1.99944807559308	0.404748272817353	4.93997926581728	7.81308784490877e-07	4.92415097347421e-05
Bzw2	1479.26548399503	0.884259149173247	0.179777693886536	4.9186254982853	8.71540321894505e-07	5.45953985884945e-05
Phf1	333.464472237515	-1.07396928375329	0.218498567403877	-4.91522345667441	8.86812503052549e-07	5.52174339250069e-05
Rilpl2	506.312942564194	-1.42887894318628	0.291167753279875	-4.90740793611448	9.22879516291278e-07	5.71190579663871e-05
Chd3	364.558447498603	-1.22744933101893	0.250693838255138	-4.89620861670212	9.77033436470031e-07	6.01108190437752e-05
Tox	147.442126575073	1.6388393759286	0.335939635353718	4.87837457525078	1.06963647614434e-06	6.54187137125914e-05
Anxa2	1925.99940799114	0.864256629714242	0.177256311068799	4.87574532327254	1.08398386954251e-06	6.59062192681847e-05
Rgl1	36.7697780792601	-1.94889857145814	0.400467565257436	-4.86655784521603	1.1355869690126e-06	6.86399234603174e-05
Siah2	857.15598897171	1.07425495305561	0.221051831342883	4.85974238046136	1.17538600902291e-06	7.06324987747722e-05
Blk	3416.33304847125	-0.528115142940371	0.108916104090142	-4.84882513336402	1.24194839895884e-06	7.37745899519457e-05
Rabac1	1173.83142647209	-1.04132877926586	0.214725388818128	-4.84958385683896	1.23720758078375e-06	7.37745899519457e-05
Numa1	871.554225635174	-0.761082718137431	0.157536688174016	-4.83114585534979	1.35749508566468e-06	8.01775383167434e-05
Sfrs2ip	1282.06835476225	0.680983250952948	0.141199997683989	4.82282763542966	1.41537273309346e-06	8.3120980507125e-05
Fcgrt	108.36903755551	-1.73581276061433	0.360827597611974	-4.81064301096221	1.50445513602414e-06	8.78533801465849e-05
Erp44	2554.79272962295	0.732343744099623	0.152678180545078	4.79664966850584	1.61341416209867e-06	9.36867908957969e-05
S100a11	367.690450918543	-1.09534037487232	0.229153852264686	-4.7799343718086	1.75352425620639e-06	0.0001012537805148
Selplg	131.769140891272	-1.83039555716217	0.383074555906012	-4.77817053871693	1.76897319300172e-06	0.000101578371793699
8430410A17Rik	2553.88565604717	0.96373681142579	0.201955952946436	4.77201487435925	1.82392030594862e-06	0.000104154918686657
Psap	533.168850704549	-1.01751946943255	0.21356675185985	-4.76440953739973	1.89407466904327e-06	0.000107566789995776
Sema4d	3674.87316562236	0.571435535970874	0.119975861401109	4.76292088506391	1.90810665344576e-06	0.000107771532076587
Ifnar2	132.870930048891	-1.56369365421777	0.32871929839627	-4.75692684258757	1.96562362642659e-06	0.000110416770667093
Rere	2620.56434874994	0.629425115318642	0.132369740589534	4.75505287322749	1.98394487367474e-06	0.000110843536293525
Stk10	621.226776055416	-1.13987095749558	0.240211125297594	-4.74528794652378	2.08209934504086e-06	0.000115702036722271
Tmem71	54.9499973974658	-1.91649666050042	0.404159343366734	-4.74193332890831	2.11688294936529e-06	0.000117005893928554
A430084P05Rik	1386.34461393445	0.763808203672809	0.161303104520692	4.73523560468625	2.18800772456269e-06	0.000117787749172292
Alox5ap	16.5821851435395	-1.88612913131301	0.398183912743012	-4.7368290655437	2.1708811962689e-06	0.000117787749172292
Dstn	1184.66168586061	0.978464085935087	0.206477843405964	4.73883332852954	2.14952211557811e-06	0.000117787749172292
Mcm3	1658.41445789011	0.626451048631689	0.132243365227985	4.73710758609099	2.16790090400514e-06	0.000117787749172292
Samd9l	496.225984021243	-1.18247525189107	0.249673137798265	-4.73609320697731	2.17877414896301e-06	0.000117787749172292
Tbc1d10c	3448.00111064499	-0.508764093041426	0.107536783529288	-4.73107039604603	2.23339048842473e-06	0.000119607896830871
Cxcr3	224.084377986198	-1.74898347958917	0.371377079866084	-4.70945455282227	2.48380587444126e-06	0.00013233307999085
Csrp2	797.607471128227	1.00523855889105	0.21369802751954	4.70401421369757	2.55095476578109e-06	0.00013521368440571
Rab24	325.16200005303	-1.41372478616868	0.300855251369859	-4.69901981013024	2.61413099004332e-06	0.000137855397515754
Ssbp3	975.705850855761	0.897546521803167	0.191140596400762	4.69573988312399	2.65643412111793e-06	0.000139375142517132
Lta	1721.27813250862	0.817781368743652	0.174649416003991	4.68241685231266	2.83512200704843e-06	0.000147999096287134
Ctss	6106.55022343441	-0.711374873045296	0.151983530877401	-4.68060499014945	2.86029583671112e-06	0.000148562903358021
Hemgn	84.9877734661256	1.86690402448694	0.399784054048083	4.66978111203606	3.01520836376223e-06	0.000155825968239232
Tyrobp	579.852217010646	-1.88463129510063	0.40388085737844	-4.66630507653576	3.06664285214287e-06	0.000157695624476361
Anp32b	2654.19080852424	0.571015405667981	0.122537199522374	4.65993516983974	3.16308993150595e-06	0.000161849987782403
Mbd4	498.517902749328	0.960882381508082	0.206636633567926	4.65010663848344	3.31763443553422e-06	0.000168921524757052
C1qb	560.627446608756	-1.84004546192355	0.396154972768477	-4.64476174327594	3.40469146226932e-06	0.000172504367421646
Chpf2	219.63846006525	-1.34034939482407	0.28872008881252	-4.64238356373749	3.44412733399703e-06	0.000173651220118016
Gsn	1259.55434859369	0.781038949973512	0.168522368086508	4.63463075461045	3.57575161362123e-06	0.000179412469312568
Igf2bp3	203.669104439196	1.53529852400392	0.331693097110161	4.62867191804725	3.68018272865039e-06	0.000183760235185171
4833439L19Rik	868.03773994019	0.892460826809873	0.192890023758504	4.62678582033471	3.7138422167385e-06	0.000184549390154851
Ehd3	436.963691706683	1.06377454935038	0.230109553423938	4.62290475785049	3.78403489308295e-06	0.000187137725621557
B3gnt5	186.246838820703	-1.49191826249022	0.324784710793359	-4.59356063543103	4.35746328522834e-06	0.000213453832461319
Kctd14	68.1462159233889	-1.73175232706816	0.37699564589829	-4.5935605514536	4.35746503960317e-06	0.000213453832461319
Gbp2	225.114981895363	-1.68367242779563	0.366760262357987	-4.59066207710429	4.41842197194536e-06	0.000215418912745411
Sidt1	35.0336144231665	-1.82298496829415	0.397668032225698	-4.58418786667647	4.55754337209166e-06	0.000221158536591265
Lig1	930.388907413464	1.02235587331419	0.223142172337693	4.58163449160566	4.61355746076379e-06	0.000222830513618946
Pitpnc1	887.776202375806	0.941974665560926	0.206442462597455	4.56289202186904	5.04537664602557e-06	0.000242553548899164
Tipin	666.705121729546	0.975486912080564	0.214205772927752	4.5539711593561	5.26425763298712e-06	0.00025190447636368
Arid5a	182.874517919848	-1.40475152869094	0.310129365997193	-4.52956631234867	5.91048820892893e-06	0.000281524452200412
Spata13	164.034738457403	-1.40554554977979	0.310397361151525	-4.52821359229807	5.94844376926111e-06	0.00028203263669304
D330028D13Rik	29.9414535239881	1.82859330551272	0.404714146775592	4.5182342156343	6.23574847301347e-06	0.00029430454893638
Gm7035	613.589256697039	-0.911158901869426	0.20223320370158	-4.50548616741469	6.62211530434896e-06	0.000311119017207958
Acrbp	66.1946844730461	-1.79464625625404	0.398435451883982	-4.50423336519917	6.66129750288694e-06	0.00031154376013502
Stat1	1555.56405328355	-0.835190532861796	0.185641488796078	-4.49894330345105	6.82920661278835e-06	0.000317958015990002
Irgm1	56.1354192269506	-1.73535051114356	0.385912466814237	-4.4967464395984	6.90011932038168e-06	0.000319818983387736
